"date","source","date_start","date_end","region","sub_region_1","cases","cases_weekly","cumulative_cases_since_2022-08-28","cumulative_cases_since_2022-08-28_weekly_diff","deaths","deaths_weekly","cumulative_deaths_since_2022-08-28","cumulative_deaths_since_2022-08-28_weekly_diff","new_hospitalizations","new_hospitalizations_weekly","cumulative_new_hospitalizations_since_2022-08-28","cumulative_new_hospitalizations_since_2022-08-28_weekly_diff","new_icu","new_icu_weekly","cumulative_new_icu_since_2022-08-28","cumulative_new_icu_since_2022-08-28_weekly_diff","tests_completed","tests_completed_weekly","cumulative_tests_completed_since_2022-08-28","cumulative_tests_completed_since_2022-08-28_weekly_diff"
"2023-01-04","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2022-week-52.pdf","2022-12-18","2022-12-31","NB","Zone 6",90,90,,,,,,,6,6,,,0,0,,,776,776,,
"2023-01-04","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2022-week-52.pdf","2022-12-18","2022-12-31","NB","Zone 7",36,36,,,,,,,4,4,,,0,0,,,518,518,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB",,521,521,11266,521,9,9,119,9,22,22,502,22,1,1,40,1,4365,4365,89772,4365
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 1",131,131,,,,,,,3,3,,,0,0,,,997,997,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 2",158,158,,,,,,,5,5,,,0,0,,,1260,1260,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 3",99,99,,,,,,,6,6,,,0,0,,,1008,1008,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 4",48,48,,,,,,,5,5,,,1,1,,,287,287,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 5",5,5,,,,,,,0,0,,,0,0,,,154,154,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 6",56,56,,,,,,,1,1,,,0,0,,,403,403,,
"2023-01-10","https://www2.gnb.ca/content/dam/gnb/Departments/eco-bce/Promo/covid-19/report-rapport/covid-report-2023-week-1.pdf","2023-01-01","2023-01-07","NB","Zone 7",24,24,,,,,,,2,2,,,0,0,,,256,256,,
