"region","episode_year","episode_week","episode_week_date_start","episode_week_date_end","episode_week_group","age_group","gender","count","hospital_status_Hospitalized - ICU","hospital_status_Hospitalized - Non-ICU","hospital_status_Not Hospitalized","hospital_status_Not stated/Unknown","death_No","death_Not Stated","death_Yes"
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","11","2020-03-08","2020-03-14","No grouping","Not stated","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Female",14,0,0,14,0,14,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Male",10,0,0,10,0,10,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","0-19","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Female",19,0,0,19,0,18,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","20-29","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Female",16,0,0,16,0,16,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","30-39","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Female",17,0,0,16,1,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Male",14,0,0,14,0,14,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","40-49","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","50-59","Female",17,0,0,17,0,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","50-59","Male",26,0,0,24,2,26,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","50-59","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","60-69","Female",23,0,0,22,1,23,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","60-69","Male",21,0,0,21,0,21,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","60-69","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","70-79","Female",13,0,0,13,0,13,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","70-79","Male",15,0,0,15,0,15,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","70-79","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","80+","Female",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","80+","Male",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","80+","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","Not stated","Female",1,0,1,0,0,1,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","Not stated","Male",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","12","2020-03-15","2020-03-21","No grouping","Not stated","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","0-19","Female",12,0,0,12,0,12,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","0-19","Male",11,0,0,11,0,11,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","0-19","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","20-29","Female",19,0,0,19,0,18,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","20-29","Male",7,0,0,7,0,7,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","20-29","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","30-39","Female",11,0,0,10,1,11,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","30-39","Male",15,0,0,15,0,15,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","30-39","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","40-49","Female",22,0,0,21,1,21,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","40-49","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","40-49","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","50-59","Female",23,0,0,23,0,20,3,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","50-59","Male",14,0,0,14,0,14,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","50-59","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","60-69","Female",16,0,0,15,1,16,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","60-69","Male",17,0,0,17,0,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","60-69","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","70-79","Female",3,0,0,3,0,3,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","70-79","Male",3,0,0,3,0,3,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","70-79","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","80+","Female",6,0,0,6,0,6,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","80+","Male",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","80+","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","Not stated","Female",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","Not stated","Male",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","13","2020-03-22","2020-03-28","No grouping","Not stated","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","0-19","Female",17,0,0,17,0,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","0-19","Male",9,0,0,9,0,9,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","0-19","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","20-29","Female",16,0,0,14,2,15,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","20-29","Male",8,0,0,8,0,8,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","20-29","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","30-39","Female",13,0,0,13,0,12,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","30-39","Male",8,0,0,8,0,8,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","30-39","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","40-49","Female",15,0,0,15,0,14,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","40-49","Male",12,0,0,12,0,12,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","40-49","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","50-59","Female",15,0,0,15,0,14,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","50-59","Male",17,0,0,17,0,17,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","50-59","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","60-69","Female",12,0,0,12,0,12,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","60-69","Male",11,0,0,11,0,11,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","60-69","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","70-79","Female",8,0,0,8,0,8,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","70-79","Male",14,0,0,14,0,13,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","70-79","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","80+","Female",15,0,0,15,0,11,1,3
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","80+","Male",2,0,0,2,0,2,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","80+","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","Not stated","Female",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","Not stated","Male",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","14","2020-03-29","2020-04-04","No grouping","Not stated","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","0-19","Female",13,0,0,13,0,13,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","0-19","Male",8,0,0,8,0,8,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","0-19","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","20-29","Female",24,0,0,24,0,23,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","20-29","Male",4,0,0,4,0,4,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","20-29","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","30-39","Female",20,0,0,20,0,16,4,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","30-39","Male",9,0,0,9,0,8,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","30-39","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","40-49","Female",14,0,0,13,1,13,1,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","40-49","Male",4,0,0,4,0,4,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","40-49","Not stated/Other",0,0,0,0,0,0,0,0
"Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)","2020","15","2020-04-05","2020-04-11","No grouping","50-59","Female",12,0,0,12,0,12,0,0
